"COUNTRY.ID","COUNTRY","INDICATOR.ID","INDICATOR","FREQUENCY.ID","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE.ID","SCALE"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2025","1.431","0","Units"
"DNK","Denmark","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2026","0.229","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2000","-4.938","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2001","-3.525","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2002","-3.826","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2003","-2.824","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2004","-2.863","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2005","-2.444","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2006","-2.061","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2007","-1.055","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2008","-1.187","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2009","-1.089","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2010","-2.730","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2011","-1.366","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2012","-0.062","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2013","0.685","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2014","1.301","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2015","1.144","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2016","1.228","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2017","1.112","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2018","1.509","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2019","1.074","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2020","-2.954","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2021","-2.759","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2022","-1.940","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2023","-2.379","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2024","-1.970","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2025","-1.801","0","Units"
"DEU","Germany","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2026","-2.894","0","Units"
"FRA","France","GGSB_NPGDP","Structural balance, General government, Percent","A","Annual","2000","-2.185","0","Units"
